path,title_en,title_es,description_en,description_es,og_image,noindex,status
/en/,Atlas Residences,Atlas Residences,Atlas Residences page for Atlas Residences.,Página de atlas residences para Atlas Residences.,/atlas/og/og-01-home-1200x630.png,false,published
/en/masterplan/,Masterplan,Plan maestro,Masterplan page for Atlas Residences.,Página de plan maestro para Atlas Residences.,,false,published
/en/units/,Units,Unidades,Units page for Atlas Residences.,Página de unidades para Atlas Residences.,/atlas/og/og-02-units-1200x630.png,false,published
/en/location/,Location,Ubicación,Location page for Atlas Residences.,Página de ubicación para Atlas Residences.,,false,published
/en/downloads/,Downloads,Descargas,Downloads page for Atlas Residences.,Página de descargas para Atlas Residences.,,false,published
/en/contact/,Contact,Contacto,Contact page for Atlas Residences.,Página de contacto para Atlas Residences.,,false,published
/es/,Atlas Residences,Atlas Residences,Atlas Residences page for Atlas Residences.,Página de atlas residences para Atlas Residences.,/atlas/og/og-01-home-1200x630.png,false,published
/es/masterplan/,Masterplan,Plan maestro,Masterplan page for Atlas Residences.,Página de plan maestro para Atlas Residences.,,false,published
/es/units/,Units,Unidades,Units page for Atlas Residences.,Página de unidades para Atlas Residences.,/atlas/og/og-02-units-1200x630.png,false,published
/es/location/,Location,Ubicación,Location page for Atlas Residences.,Página de ubicación para Atlas Residences.,,false,published
/es/downloads/,Downloads,Descargas,Downloads page for Atlas Residences.,Página de descargas para Atlas Residences.,,false,published
/es/contact/,Contact,Contacto,Contact page for Atlas Residences.,Página de contacto para Atlas Residences.,,false,published
