id,building_id,floor,number,type_id,beds,baths,area_m2,price_eur,status,orientation,plan_image,gallery_images,cta_override,sort
a-01-t1-101,a,1,101,t1,1,1,45,320000,available,sea,,,,1
a-01-t2-102,a,1,102,t2,2,2,71,537000,available,city,,,,2
a-01-t3-103,a,1,103,t3,2,2,84,684000,available,courtyard,,,,3
a-01-t4-104,a,1,104,t4,3,2,104,901000,available,mountain,,,,4
a-02-t2-201,a,2,201,t2,2,2,80,588000,available,sea,,,,5
a-02-t3-202,a,2,202,t3,2,2,80,735000,available,city,,,,6
a-02-t1-203,a,2,203,t1,1,1,47,321999,available,courtyard,,,,7
a-02-t4-204,a,2,204,t4,3,2,116,969000,available,mountain,,,,8
a-03-t2-301,a,3,301,t2,2,2,77,656000,available,sea,,,,9
a-03-t3-302,a,3,302,t3,2,2,79,803000,available,city,,,,10
a-03-t1-303,a,3,303,t1,1,1,51,389999,available,courtyard,,,,11
a-03-t5-304,a,3,304,t5,3,3,132,1687000,available,mountain,,,,12
a-04-t2-401,a,4,401,t2,2,2,74,523999,available,sea,,,,13
a-04-t4-402,a,4,402,t4,3,2,108,1071000,available,city,,,,14
a-04-t3-403,a,4,403,t3,2,2,81,717999,available,courtyard,,,,15
a-04-t1-404,a,4,404,t1,1,1,50,374998,available,mountain,,,,16
a-05-t2-501,a,5,501,t2,2,2,71,591999,available,sea,,,,17
a-05-t4-502,a,5,502,t4,3,2,120,1139000,available,city,,,,18
a-05-t3-503,a,5,503,t3,2,2,80,785999,available,courtyard,,,,19
a-05-t1-504,a,5,504,t1,1,1,46,342997,reserved,mountain,,,,20
a-06-t2-601,a,6,601,t2,2,2,68,659999,reserved,sea,,,,21
a-06-t6-602,a,6,602,t6,4,4,182,2557000,reserved,city,,,,22
a-06-t3-603,a,6,603,t3,2,2,79,683998,reserved,courtyard,,,,23
a-06-t4-604,a,6,604,t4,3,2,112,890999,reserved,mountain,,,,24
a-07-t2-701,a,7,701,t2,2,2,80,527998,reserved,sea,,,,25
a-07-t1-702,a,7,702,t1,1,1,48,344996,reserved,city,,,,26
a-07-t3-703,a,7,703,t3,2,2,78,751998,reserved,courtyard,,,,27
a-08-t4-801,a,8,801,t4,3,2,98,958999,reserved,mountain,,,,28
a-08-t2-802,a,8,802,t2,2,2,77,595998,reserved,sea,,,,29
a-08-t5-803,a,8,803,t5,3,3,155,1993000,sold,city,,,,30
b-01-t1-101,b,1,101,t1,1,1,47,329995,sold,courtyard,,,,31
b-01-t2-102,b,1,102,t2,2,2,71,646998,sold,mountain,,,,32
b-01-t3-103,b,1,103,t3,2,2,83,683997,sold,sea,,,,33
b-02-t4-201,b,2,201,t4,3,2,116,1060999,sold,city,,,,34
b-02-t2-202,b,2,202,t2,2,2,80,697998,sold,courtyard,,,,35
b-02-t1-203,b,2,203,t1,1,1,46,414995,sold,mountain,,,,36
b-03-t3-301,b,3,301,t3,2,2,82,751997,sold,sea,,,,37
b-03-t4-302,b,3,302,t4,3,2,102,1128999,sold,city,,,,38
b-03-t2-303,b,3,303,t2,2,2,77,565997,sold,courtyard,,,,39
b-04-t6-401,b,4,401,t6,4,4,195,2863000,sold,mountain,,,,40
b-04-t1-402,b,4,402,t1,1,1,45,399994,sold,sea,,,,41
b-04-t2-403,b,4,403,t2,2,2,71,616997,sold,city,,,,42
b-05-t3-501,b,5,501,t3,2,2,87,683996,sold,courtyard,,,,43
b-05-t4-502,b,5,502,t4,3,2,120,880998,sold,mountain,,,,44
b-05-t2-503,b,5,503,t2,2,2,80,667997,sold,sea,,,,45
b-06-t1-601,b,6,601,t1,1,1,52,384993,sold,city,,,,46
b-06-t3-602,b,6,602,t3,2,2,86,,coming_soon,courtyard,,,,47
b-06-t5-603,b,6,603,t5,3,3,147,,coming_soon,mountain,,,,48
